site,abundance,richness,humidity,tree_age
a,11,7,59.5,14
a,10,4,70.4,12
a,13,4,73.4,9
a,11,4,53.8,14
a,10,4,66.8,9
a,10,3,57.9,11
a,9,4,78.7,13
a,12,3,81,15
a,11,3,60.1,7
a,10,3,73.3,19
a,12,7,69.3,10
a,9,3,60.1,16
a,13,3,63.4,17
a,11,3,48.1,10
a,10,3,65.4,15
a,10,3,58.2,15
a,11,4,68.9,8
a,14,4,75.1,11
a,10,6,58.3,10
a,11,3,69.4,7
b,8,2,48.1,9
b,9,3,51.8,13
b,8,3,53.6,8
b,19,7,59.4,12
b,17,10,73.3,14
b,6,2,43.4,9
b,11,3,45.2,5
b,8,4,58.5,13
b,21,11,52.3,12
b,15,4,81.5,15
b,9,3,39.9,10
b,9,3,48.1,6
b,8,4,50.8,5
b,20,6,49.8,7
b,17,4,82.5,21
b,8,3,44.3,6
b,8,3,56.1,9
b,7,4,57.6,13
b,20,7,62.9,11
b,18,5,78,14
c,6,2,69.8,10
c,1,1,45.1,12
c,4,2,62,18
c,3,2,64.8,15
c,3,2,58.3,10
c,6,3,68.6,8
c,0,0,38.6,7
c,4,3,64.5,10
c,4,2,57,17
c,2,2,65.9,19
c,6,2,71.3,17
c,2,2,33.8,4
c,5,2,72.7,12
c,3,2,71.1,14
c,3,2,53.7,14
c,6,2,73.4,22
c,0,0,46.2,10
c,3,2,63.4,7
c,2,2,62.9,11
c,3,2,53,8
d,1,1,42.3,4
d,3,2,60.3,12
d,3,3,55.4,13
d,1,1,46.3,8
d,4,3,68.1,16
d,1,1,45.5,7
d,4,2,53.7,13
d,3,2,47.1,13
d,0,0,43,13
d,5,2,58.7,15
d,0,0,48,6
d,3,2,68.9,19
d,4,3,54.7,8
d,1,1,58.2,12
d,4,2,66.4,20
d,1,1,42.5,6
d,4,2,59.1,9
d,2,1,50.6,8
d,2,1,50.2,7
d,3,2,70.8,14
e,3,2,48.8,7
e,22,13,65,15
e,6,3,52.7,8
e,0,0,43.7,7
e,6,2,59.5,6
e,4,2,42.1,7
e,22,7,74.7,14
e,8,4,61.6,8
e,0,0,45.6,10
e,4,2,61.2,13
e,2,2,59.3,9
e,22,5,72.5,11
e,7,2,42.3,12
e,1,1,50.1,11
e,5,2,68.9,20
e,4,2,44.1,5
e,22,5,68.6,17
e,7,4,49.6,12
e,1,1,44.4,11
e,6,3,61.9,15
f,5,2,65.8,8
f,4,2,63.5,17
f,1,1,37.8,5
f,6,4,68.9,16
f,4,2,52.3,7
f,4,2,74.1,18
f,2,1,66,12
f,3,2,38,5
f,6,2,68.2,8
f,4,2,55.7,6
f,5,3,62.1,13
f,3,3,57.8,17
f,2,2,29.5,5
f,6,3,76.6,10
f,4,2,51.3,11
f,6,4,70.3,9
f,3,2,59.6,12
f,2,2,37,8
f,5,4,65.2,13
f,3,2,54,12
g,2,2,51.2,5
g,1,1,42.1,5
g,1,1,46.2,14
g,3,2,60.6,7
g,4,2,56.3,7
g,4,2,51.1,11
g,2,1,42.5,10
g,1,1,38.5,5
g,3,2,51.6,12
g,4,2,50.4,13
g,3,2,59.1,15
g,0,0,33.4,7
g,2,2,49.2,8
g,3,2,65.7,16
g,4,2,64.7,13
g,1,1,57,17
g,0,0,38.7,4
g,1,1,49.7,12
g,4,3,60.2,9
g,4,2,54.7,14
h,3,2,43.3,11
h,5,2,63.7,7
h,7,3,70,9
h,5,2,58.3,12
h,0,0,39.5,5
h,2,1,48.5,10
h,5,3,68.6,10
h,6,3,68.5,9
h,3,2,57.6,7
h,1,1,47,11
h,4,2,40.3,12
h,4,3,70.8,13
h,8,3,77.4,10
h,5,3,59.9,16
h,0,0,48.8,13
h,4,2,43.5,12
h,5,2,63,11
h,6,2,65.1,14
h,5,2,54.9,8
h,1,1,40,9
